uid,user_name,verifiedType,following,followers,statusCount,location
1975488345,物流达人给力34,个人认证,1637,4076,2848,山西 太原
1831502434,今天你3G了吗,微博达人,594,1824,5088,河南 南阳
1039039655,中文幽默王,机构认证,13,195237,31083,山西 太原
1665164045,孙巍业绩咨询,个人认证,3000,330689,4877,北京 海淀区
2489596935,山西共青团,机构认证,850,82270,1644,山西 太原
1663998545,张天声,个人认证,2466,10963,4455,北京 海淀区
1651914727,BOBO王波,个人认证,2021,14535,254,北京 西城区
2084131807,时尚太原,普通用户,1799,203305,1629,山西 太原
1919752300,山人大卫,普通用户,1796,69410,15394,广东 广州
2200652875,刘杰克说品牌营销策划与网络营销,个人认证,2174,949818,2548,北京
2319068441,邱岳首,微博达人,1964,9937,9366,海外 澳大利亚
1648750360,谢永金,个人认证,632,169,225,北京 朝阳区
1280822783,中国马华,个人认证,2786,133504,4308,陕西 西安
1648576644,UC优视,机构认证,1960,4000653,3248,北京 海淀区
1179148732,斯臻海,个人认证,1942,59549,7500,浙江 杭州
2185611751,刘嵘辉,个人认证,1963,14672,2937,湖北 武汉
1218531414,淡欲定而心不止,普通用户,982,4243,700,北京 海淀区
2649941037,zzzigzag,普通用户,204,23,4,其他
1821839965,海水醍醐,普通用户,642,938,998,海南 海口
1838270905,沃天秤,普通用户,148,363,1148,海南 海口
2088067364,运营商曝料,普通用户,1291,64342,668,北京
1706425142,励志人生心语,普通用户,1794,259067,6984,广东 广州
1854987472,老丁山西,普通用户,112,154,101,山西
2175005267,穆占国,普通用户,650,499,388,山西 太原
1657877122,赵寅的微博,微博达人,1407,2411,7481,贵州 贵阳
1516408593,盛鸿彬,个人认证,2492,10474,585,安徽 合肥
1976266214,曾昌贵,个人认证,542,1154,1064,山西 太原
2139248695,远大秦素良,普通用户,826,1887,2385,山西 长治
1808115915,游剑江湖人不老,普通用户,919,906,6791,山西
1497476395,禅楠君,普通用户,155,212,641,山西 运城
2118149563,太原联通官方微博,机构认证,67,3015,2530,山西 太原
1667957807,孟繁梵,个人认证,1055,10449,2446,山东 潍坊
1589935535,jessionlee,个人认证,780,14977,3698,广东 深圳
2642705043,爱国小灵通,微博达人,706,2614,16218,山西
2012745503,张保英,个人认证,323,12634,401,北京
2733595664,偶是苦逼运营商,普通用户,771,238,418,广东 广州
1838994881,Jessie_Missyang,普通用户,217,173,177,山西 长治
2060974242,中国通信业,普通用户,1455,162700,12427,北京 海淀区
1254371531,陈强微博,普通用户,1989,20808,20643,福建 福州
1898886221,太雪白,个人认证,988,7980,1804,北京
1659721332,闲人老肥,普通用户,2000,541,2742,北京 丰台区
1876340615,网通屁屁,微博达人,909,34796,2503,黑龙江 哈尔滨
1417190052,开眼视点,个人认证,1132,151887,7643,其他
1854612430,临汾联花,普通用户,1998,6177,3143,山西 临汾
2116589160,民间笑话集,普通用户,1083,2360,0,山西 运城
1770232883,颜晓滨,个人认证,2802,110277,4082,上海
1701739362,TT55GG,普通用户,1070,1014,3288,广东 深圳
1839065101,手机应用,个人认证,701,2626,1046,北京
1912924575,m宛若清扬m,普通用户,933,6364,7258,江西
1761251103,雷以锋,个人认证,1274,9470,591,北京 朝阳区
1177210733,小任旭,个人认证,1485,700,388,北京 朝阳区
2090415263,海红妹,普通用户,1035,3923,0,山东 青岛
1928090225,百家论谈,普通用户,405,2133,563,北京
1151894767,申江婴,个人认证,1233,24623,2321,北京 朝阳区
1855678104,云帆沧海Z,普通用户,388,949,2741,山西
1844338625,在太行山上,普通用户,399,552,863,其他
1915844985,体验营销传教士,微博达人,1982,34485,22659,北京
1833586782,放眼宇宙,普通用户,1497,3020,122,其他
1787449653,野草志,微博达人,448,1015,2441,上海 普陀区
1984546081,陈嘉荣V博,个人认证,1368,11428,1192,江西 吉安
1957714033,老雷也时尚,个人认证,1996,15457,3298,河北
1748343825,郑大力内蒙古联通,个人认证,1692,18506,3296,内蒙古 呼和浩特
1880469042,株洲联通陈毅勇,微博达人,827,690,590,湖南 株洲
1805279431,刘登梅,普通用户,1543,1014,359,山西 朔州
1855278614,裴润斌,普通用户,1635,1211,4378,山西
1867164795,冬悸看海,微博达人,2000,1154,675,山东 济南
1959509583,沃3G修峰,个人认证,1937,5822,2655,广西 南宁
1134535931,果栋布丁,微博达人,659,1058,6323,北京 海淀区
1829318345,酣逗,机构认证,1556,11803,849,北京 海淀区
1614803664,沐日浴月83,普通用户,329,447,852,山西 太原
1774383704,朱士行大师,普通用户,1961,395,387,广东
2099880614,船长helm,普通用户,226,579,382,山西 太原
1825111172,蔺磊-张妙阳配音网,个人认证,1375,1859,3746,北京 朝阳区
1694491457,南博晓JACKE,普通用户,1506,423,233,上海 闵行区
1670532987,芭蕾指尖,普通用户,818,270,979,北京 朝阳区
1412965321,精气神马,个人认证,1421,10353,725,北京 海淀区
2143819145,陈甜甜vivian,普通用户,1854,2057,74,天津
1895878365,不要总看我,普通用户,1484,22297,5753,江西 南昌
1854770860,傻傻的愚翁,微博达人,1967,2826,20162,山西 朔州
1219927442,我吃粽子-赵明hw,普通用户,401,289,711,山西 太原
1854809192,忻州联通亮,微博达人,166,288,317,山西 太原
1854961290,心若冰清-善缘-梦缘,普通用户,1931,2034,4429,山西 朔州
1854958650,wo_织围脖,普通用户,439,390,445,山西
1873036723,三毛流浪在沙漠,微博达人,1924,1812,4454,河南 漯河
1065276305,木子枫,普通用户,931,585,2420,陕西 西安
1094457984,联通ZJM老温,微博达人,1596,1442,6324,北京 朝阳区
1671514732,赵海峰微博客,普通用户,196,571,790,山西 太原
1938596813,陕西雪野,微博达人,1926,2232,4124,陕西 汉中
2069242531,山西兰草,微博达人,1856,2369,6053,山西 临汾
1704582547,Unisk联通时科,机构认证,1119,6992,3805,北京 东城区
1977890431,彭松超,个人认证,1651,121399,4510,江苏 徐州
1166722755,大海V博,普通用户,504,312,42,北京
1778556354,别跟自己拧巴,普通用户,246,93,126,广东 广州
1831496762,家有帅小兵,微博达人,613,604,1658,河南 开封
2013592154,冬韵春雨,普通用户,766,733,388,内蒙古 呼和浩特
1927262433,放飞的鸽子1234567890,普通用户,1817,1228,1573,江西
1092493017,付亮的竞争情报应用,个人认证,1966,64202,15736,北京 宣武区
1820402633,函元,个人认证,2135,42519,12582,其他
2135499477,宽带报装,普通用户,1366,485,55,广东 茂名
1855195060,两根胡,微博达人,1888,1739,12493,山西 长治
1770264080,唐旭-北京,个人认证,497,134284,5700,北京 海淀区
1991877195,李名辉的微博,个人认证,422,561,614,北京 朝阳区
1906623137,通信内参,普通用户,509,437,2309,江苏 南京
1854709074,心境之-花,普通用户,54,47,24,山西
1819775941,移动谢夏生,个人认证,881,5921,1025,福建 福州
2130491931,白的墨,普通用户,1415,1045,142,江苏 南京
1099163160,飞象网陈翔,个人认证,852,15490,1188,北京
2073306615,临汾流星,普通用户,329,185,272,北京
2092922107,鹿泉沃3G玩家俱乐部-苏红艳,普通用户,1980,1631,0,河北 石家庄
1820466454,榆林联通余建平,普通用户,1427,1353,1090,陕西
2129884972,冰魄_卢晓凤,普通用户,137,151,27,山西 朔州
2113713440,江西猪猪大侠,普通用户,1807,969,665,江西 南昌
1814836325,沃-看蝶之舞,微博达人,1968,1481,3636,湖南 常德
1195798054,纪金,个人认证,1485,7046,1549,上海 徐汇区
1867118551,渔夫9999,普通用户,1402,1458,2410,其他
1834292805,皮少爷V博,微博达人,1372,7446,2238,海外
1808120942,联通王峰,普通用户,974,35869,1497,安徽
2005532265,江湖雄哥,个人认证,881,9435,2864,北京
2075278253,月亮萧萧的空间,普通用户,448,352,88,山西
1854464937,3G体验弟,微博达人,841,4147,428,北京 海淀区
1854821662,沃在朔州,普通用户,328,494,585,山西 朔州
1290548162,江南东方_跨界,微博达人,1964,1910,4017,浙江 杭州
1924622797,山西移动,机构认证,1146,61690,2364,山西 太原
1832244362,弗赖堡队,普通用户,1836,287,0,其他
1975500790,试博卡布奇诺2009,普通用户,770,1059,1118,海外 英国
1847610024,阿辉186,普通用户,160,182,290,山西 晋中
1855358240,阳泉毕慕萍,普通用户,25,41,23,山西
1855440650,幸运花儿舞,普通用户,174,170,190,山西 运城
1854672110,汾西郭文,普通用户,30,36,52,山西
1854665732,心语663,普通用户,134,93,376,山西
1095802402,蔡烨的微博,个人认证,2117,78068,15285,北京 海淀区
1867116317,联通董杰,普通用户,1988,2558,1774,安徽
1800272812,老仉,微博达人,847,919,1656,山东 泰安
2129341051,萌_悟雪,普通用户,292,82,197,广东 广州
2081156793,凯雯09140405,普通用户,336,38,168,陕西 西安
2063098985,lienhui,普通用户,672,103,130,广东 佛山
1049616495,斗牛士318,普通用户,240,173,511,山西 临汾
1256261324,孙兵-同心动力,个人认证,1601,198781,9524,北京 海淀区
1855409974,运城赵立勤,普通用户,128,449,79,北京
1854801444,快乐王子ye,普通用户,47,35,76,山西 临汾
1854772744,郭晓芳的小灿烂,普通用户,2000,2024,4366,山西 朔州
2093102013,落花生_hz,普通用户,57,35,0,浙江 杭州
1907086077,王汝民2011,普通用户,676,555,1343,新疆 伊犁
1855838482,丁村文化,普通用户,81,102,195,山西
1908787220,葡萄酒小子,微博达人,1318,517,323,重庆 江北区
2127443181,AGuycyh,普通用户,457,78,94,上海 闵行区
1855016324,张小媛zxy,微博达人,1945,1898,3320,山西
2099787445,塔额沃野,普通用户,1128,871,2233,新疆
2049117451,一-路-同-行,普通用户,617,632,429,山东 泰安
1784389700,李艺山西,个人认证,2000,2410,1559,山西 太原
1837168701,李小毛_Emily,普通用户,198,94,208,山东 青岛
1854656940,HM简单的幸福,微博达人,154,254,581,山西 临汾
2121970142,再看完美的人,普通用户,1147,209,46,陕西 西安
1855333360,长影随风,普通用户,98,441,902,山西
1855274910,融汇时节,普通用户,47,30,100,山西
1406993905,贺新的微博,微博达人,916,1976,3667,黑龙江 齐齐哈尔
1887776515,PTIC程林,普通用户,667,586,615,河南
2108730681,全球时尚精选,普通用户,1944,1042,90,北京
2107778951,晋观联通,普通用户,74,9,7,海外 新加坡
1855295412,联通贾惠明,普通用户,58,192,154,山西
1855844034,文竹186,普通用户,63,80,97,山西
1855300322,漾泉之水,普通用户,231,127,130,山西
1855550502,河曲联通,普通用户,134,165,370,山西 忻州
1638793111,长风万里翔,普通用户,99,102,523,山西 太原
1854773564,临汾小孔,普通用户,100,192,945,山西
2122869521,联通人2010,普通用户,14,16,1,山西 临汾
1874498183,TY张吉,微博达人,1024,539,457,山西
1855266660,老__明,普通用户,123,182,927,山西 长治
2055289771,临汾东方红,普通用户,88,125,294,山西 临汾
1855059170,UNI牛,微博达人,73,534,1914,山西
1855854552,临汾高洁,普通用户,173,623,2053,山西
1855207944,长治联通毛毛,普通用户,264,175,121,山西 长治
1855284742,水边起舞的蝴蝶0,普通用户,150,104,452,山西
1854791820,临汾韩红兵,普通用户,91,210,596,山西 临汾
1855457580,海阔天空ch,普通用户,144,382,880,山西
1855637484,芮城杨耀辉,个人认证,1217,1323,3533,山西 运城
1698705681,云刚的博窝,微博达人,796,774,543,湖南 常德
2108816370,huangtc0089,普通用户,164,174,476,山西
2107417011,网优舞动人生,普通用户,458,287,196,山西 临汾
1878354431,孤旅骄客,普通用户,1401,702,773,山西 吕梁
1855352072,荷塘月色c,普通用户,86,301,1280,山西
1854724214,山西临汾张红胜,普通用户,838,568,1656,山西
1898813453,海涛shao,普通用户,81,260,1023,山西 太原
1940200877,云中山天龙,普通用户,48,74,242,山西
1855455012,2011老米,普通用户,52,84,69,山西
1854791120,翼城小孔,普通用户,350,353,1038,山西 临汾
2108541741,house127,普通用户,71,81,190,山西 临汾
1855388394,草原归来的人,普通用户,59,62,24,山西
1855849552,临汾联通张剑,普通用户,129,145,26,山西
1867117987,联通梦幻,普通用户,1986,2119,118,安徽 马鞍山
1855796990,互联网红,普通用户,21,34,5464,山西
1855802562,001偶然,微博达人,346,349,295,山西 临汾
1855876000,淡淡琴香,普通用户,1509,267,300,山西
2075068965,YQ春夏秋冬,普通用户,74,84,154,山西 阳泉
1964791403,宁静的繁荣,普通用户,219,221,945,山西
1855824374,卍夜深沉卍,普通用户,241,114,498,山西 临汾
1677146611,老阿宁,普通用户,661,486,1169,山西 太原
2091561292,君子良言,普通用户,117,44,41,山西 阳泉
1855284330,快乐169,微博达人,789,1154,2672,山西 阳泉
1855177114,竹下闻雨,普通用户,287,208,652,山西
1855523004,晋城联通邵华,普通用户,151,407,476,山西
1854791284,侯马鲁娟,普通用户,154,250,217,山西
1854623930,夜雨飘WO,普通用户,185,68,93,山西 临汾
1854753094,英姿飒爽秋之韵,普通用户,143,282,131,山西 临汾
1854806100,月圆在丽江,普通用户,155,200,322,山西 太原
1855368480,阳泉雅萍,普通用户,230,456,1482,山西
1855281010,无为无边,普通用户,204,116,222,山西 阳泉
1854749390,安泽联通-沃3G,普通用户,404,337,350,山西
2061586107,契阔谈讌_,普通用户,359,197,387,山西 阳泉
1855286330,盛夏618,微博达人,480,1214,3346,山西 阳泉
2057784210,许春Lamada,普通用户,533,435,283,山西 朔州
1855168270,联通彭波,普通用户,393,350,1924,山西 长治
1759047093,mickor,普通用户,325,569,444,广东
1855297500,长通赵大雅,普通用户,395,411,2831,山西
1855433740,秋水伊人的悠然,普通用户,154,110,1804,山西
