uid,user_name,verifiedType,following,followers,statusCount,location
1854612430,临汾联花,普通用户,1998,6177,3143,山西 临汾
1854801732,沃精彩-沃生活,普通用户,181,251,433,山西 临汾
1940396132,璀璨命莫名泪,普通用户,558,263,98,山西 临汾
1959927554,Amazon-J,微博达人,1393,1481,15345,山西 临汾
1897631345,沃浪涛沙,普通用户,226,356,1428,山西 临汾
1569159551,乖乖的忧郁的蓝色,普通用户,52,55,80,山西 临汾
2106759751,临汾宁夏,普通用户,50,54,94,山西 临汾
1854741154,临汾老段0108,普通用户,148,193,109,山西
1854732460,生活WO精彩,普通用户,14,7,40,山西 临汾
1854726890,贾张锋临汾,普通用户,76,94,162,山西 临汾
1855804210,临汾鲁松,普通用户,0,0,0,山西 临汾
1651218671,李雷强,微博达人,1223,1246,0,山西 临汾
1854721310,乒乓九段,普通用户,450,343,124,山西 临汾
2061429341,Morning_sunny,普通用户,180,241,792,山西 临汾
2043473374,珠圆玉润YR,普通用户,219,322,230,山西 临汾
1965068965,流星雨的记录,普通用户,460,536,1629,山西 临汾
1854797872,黄土高坡的土老帽,普通用户,125,119,102,山西 临汾
1854694982,小皮LL,普通用户,505,336,386,山西 临汾
1855791230,精彩沃派,普通用户,1999,988,1243,山西
2105234032,和谐痴呆,普通用户,524,436,817,山西 临汾
2096279941,山西刘文景,普通用户,745,539,359,山西 临汾
1854715122,XF飘,普通用户,295,360,328,山西
2061222395,联通张静杰,普通用户,237,305,45,山西
2101396782,翼城刘孔英,普通用户,254,244,14,山西 临汾
1404087392,王雁晋,普通用户,811,914,6316,山西 临汾
2069242531,山西兰草,微博达人,1856,2369,6053,山西 临汾
1855776514,hmniyuan,普通用户,15,27,30,山西 临汾
1854669152,__zZ__zZ,普通用户,694,452,1148,山西 临汾
2091773383,山西李旭峰,普通用户,67,230,117,山西
1855824274,临汾联通任刚,普通用户,99,239,103,山西
1915737603,烽火丷年华,普通用户,124,222,248,山西 临汾
1855854552,临汾高洁,普通用户,173,623,2053,山西
1854655352,联通芳冰,普通用户,672,676,41802,山西
1854667164,折戟葬刀身归土,微博达人,1253,1164,2646,山西 临汾
1854797432,联通永安,普通用户,194,140,923,山西 临汾
1854800192,Timetosaybyebye,微博达人,543,490,298,山西 临汾
1855821662,临汾联通兰文伟,普通用户,411,185,152,山西 临汾
1854798824,ljh186,普通用户,104,118,20,山西 临汾
1854766804,中国联通cnyp,普通用户,150,114,147,山西 临汾
1664290027,安泽186,普通用户,365,295,773,山西 临汾
2107417011,网优舞动人生,普通用户,458,287,196,山西 临汾
1854791820,临汾韩红兵,普通用户,91,210,596,山西 临汾
1522812797,淡淡的真_润和,普通用户,179,119,180,山西 临汾
1855847262,海的深度W,普通用户,245,173,805,山西 临汾
1854801444,快乐王子ye,普通用户,47,35,76,山西 临汾
1699035967,Optimus2是奋斗ing的靠谱女斗士,微博达人,613,336,1617,山西 临汾
1775112311,秋天的蜗牛儿V,普通用户,497,985,1500,山西 临汾
1713652363,小幸福Emily,微博达人,580,442,1588,山西 临汾
1824993143,猫-小华,微博达人,147,507,2416,山西 临汾
1887098133,你会不会再回来,普通用户,809,497,1065,山西 临汾
1749130985,花J墩子,普通用户,830,255,547,山西 临汾
1590292602,莫言babara,普通用户,133,323,876,山西 临汾
1748233607,田园悲伤,普通用户,128,87,116,山西 临汾
1781773045,离-若殇,普通用户,1052,258,2946,山西 临汾
1700967381,蓝色神话恋,普通用户,68,72,167,山西 临汾
1587355742,永不放弃的東子,普通用户,688,329,253,山西 临汾
1751851283,晨晨丶宝,普通用户,62,41,54,山西 临汾
1550821693,Bodhi_lee,普通用户,138,83,683,山西 临汾
2029098471,肘子HONEY,普通用户,152,58,221,山西 临汾
1854767760,临汾田丰,普通用户,235,244,28,山西 临汾
1835916014,临汾联通郭腊琴,普通用户,116,229,168,山西 临汾
1038779332,临汾联通成保强,普通用户,335,353,186,山西 临汾
2086001957,临汾生活小编,微博达人,505,518,408,山西 临汾
1854806340,蒜蒜R-,普通用户,653,503,1138,山西
1854683410,山西临汾纸鸢,普通用户,376,317,774,山西 临汾
2099014160,汾西侯平,普通用户,83,57,61,山西 临汾
1563876970,毛小东00000000,普通用户,835,302,111,山西 临汾
2106709080,78随缘,普通用户,198,132,60,山西 临汾
2108792930,关注越多精彩更多,普通用户,1372,379,2431,山西 临汾
1704392330,王重一,个人认证,2000,1345377,2670,山西 太原
2111727362,符爾,普通用户,508,53,0,北京 房山区
2122637963,临汾古装苑,普通用户,143,108,8,山西 临汾
2034573151,touch-荣,普通用户,28,26,16,山西 临汾
2081694815,汾西联通平凡的我,普通用户,2000,1945,119,山西 临汾
1665212253,梓枫是疯子Siler,微博达人,230,673,1817,山西 临汾
1966181153,眺眺爹,普通用户,98,61,234,山西 临汾
1870126711,杜大拿,普通用户,70,51,189,山西 临汾
1964535454,临汾范炜,普通用户,229,487,348,山西 临汾
2044320457,美团东营,机构认证,634,5074,14901,山东 东营
1709154731,喵咪烟火,普通用户,208,202,1264,北京 通州区
1890935280,美团郝东敏,微博达人,1127,473,1880,陕西 西安
1256982025,临汾水良白,微博达人,1862,2573,9087,山西 临汾
2089840263,亲_美妞Y,普通用户,337,363,331,山西 临汾
1771699815,美团西安,机构认证,1569,33946,20225,陕西 西安
2107021722,美团临汾,机构认证,1954,3993,13780,山西 临汾
